Hub_Name,Hub_Type,Location,State_Region,Geographical_Zone,Area_In_Acres,Target_Capacity_TEU_Annum,Capacity_Utilization_Pct,Utilized_Volume_TEU_Annual,Investment_Cost_Crores,Development_Phase,Connectivity_Modes,Connectivity_Matrix,Rail_Physical_Destinations,Road_Physical_Destinations,Port_Physical_Destinations,Airport_Physical_Destinations,Outbound_Rail_Pct,Outbound_Road_Pct,Outbound_Port_Pct,Outbound_Airport_Pct,Heavy_Machinery_Fleet,Catchment_Score,Avg_Freight_Speed_KmH,Real_Anchor_Industries,Industry_Driving_Distance_KM,Pipeline_Tracker,Regulatory_Layer,Transaction_Proxies_Bilty,Data_Source_Verification_Link,Source_Authentication,Verification_Status
Gorakhpur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Gorakhpur,Uttar Pradesh,Central,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Haridwar Multi-Modal Logistics Park,Multi-Modal Logistics Park,Haridwar,Uttarakhand,Central,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Jodhpur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Jodhpur,Rajasthan,North,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Kanpur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Kanpur,Uttar Pradesh,Central,21.25,0,0,0,0,Planned,"Rail, Road","Terminal spread over more than 86,000 square metres; 2,000 square metre covered warehouse (1200 for EXIM & 800 for Domestic); 3-4 weekly rail services & Road connectivity to MDPT with an average transit time of 3-4 days; Less than Container Load (LCL) and Full Container Load (FCL) cargo handling; Refrigerated container train services",MDPT,MDPT,MDPT,null,0,0,0,0,0,0,0,"Jajmau, Lucknow, Varanasi, Bihar, Unnao, Barabanki, Jhansi, Panki, Faizabad, Prayagraj, Jaunpur, Sandila, Chaubepur, Renukoot, and adjoining regions",0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.","First Mile Last Mile (FMLM) support via Mobile App, LCL/FCL facilities; online container booking, document filing, and Customs clearance; Reach Stackers, Trailers, 5 High Mast Lights, and CCTV surveillance",https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://www.linkedin.com/posts/concorindia_concor-terminal-inland-container-depot-activity-7320442310389809152-AWWP ; https://www.linkedin.com/posts/concorindia_the-concor-inland-container-depot-icd-activity-7419758614325735425-nyaH,Other (blog.tatanexarc.com),Verified
Ranchi Multi-Modal Logistics Park,Multi-Modal Logistics Park,Ranchi,Jharkhand,East,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Siliguri Multi-Modal Logistics Park,Multi-Modal Logistics Park,Siliguri,West Bengal,East,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Tuticorin Multi-Modal Logistics Park,Multi-Modal Logistics Park,Tuticorin,Tamil Nadu,South,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Udaipur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Udaipur,Tripura,North-East,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Nasik Multi-Modal Logistics Park,Multi-Modal Logistics Park,Nasik,null,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Sundargarh Multi-Modal Logistics Park,Multi-Modal Logistics Park,Sundargarh,null,East,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Cochin Multi-Modal Logistics Park,Multi-Modal Logistics Park,Cochin,Kerala,South,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Mundra Multi-Modal Logistics Park,Multi-Modal Logistics Park,Mundra,Gujarat,West,9.884,155000.0,0,0,0,Inaugurated,Rail; Road; Warehousing; FTWZ,"Multi-modal logistics park with rail connectivity; Warehousing: FTWZ and Domestic; Rail and Road Transportation; FTWZ at Mundra – Benefits include duty deferment, tax exemptions, ease of re-exporting and other value-added services; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; Dedicated RO-RO facility available at Adani Port, Mundra with pre-dispatch storage capacity of 20,000 cars","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,Auto,0,"Inaugurated by Mr Atit Mahajan (Managing Director, CMA CGM India) and Mr Jean Vanmalle (Vice President, CMA CGM Inland Services); developed in collaboration with Shubham Newport LLP (SNLLP)",FTWZ at Mundra,"Dedicated RO-RO facility available at Adani Port, Mundra with pre-dispatch storage capacity of 20,000 cars",https://www.adaniports.com/logistics ; https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Operator (www.adaniports.com),Verified
Gati-KWE Surface Transhipment Centre Delhi,Surface Transhipment Centre (STC),Delhi,Delhi,North,0,0,0,0,0,Plans to set up,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Gati-KWE announces plans to set up Surface Transhipment Centre (STC) in Delhi,null,null,https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Other (www.logisticsinsider.in),Unverified
Hiranandani Industrial Logistics and Data Centre Park West Bengal,Logistics Park,West Bengal,West Bengal,East,0,0,0,0,10000.0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Hiranandani Group to invest INR 10000 crore for industrial, logistics and data centre park in West Bengal",null,null,https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Other (www.logisticsinsider.in),Unverified
North India Integrated Multimodal Logistics Hub,Integrated Multimodal Logistics Hub,null,null,North,0,0,0,0,0,Construction to commence soon,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Construction of North India's largest Integrated Multimodal Logistics Hub to commence soon,null,null,https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Other (www.logisticsinsider.in),Unverified
Container Manufacturing Hub Bhavnagar,Container Manufacturing Hub,Bhavnagar,null,West,0,0,0,0,0,To be set up,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Centre to set up a container manufacturing hub at Bhavnagar,null,null,https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Other (www.logisticsinsider.in),Unverified
Assam Multi-Modal Logistics Park,Multi-Modal Logistics Park,Assam,Assam,North-East,0,0,0,0,0,To be built,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,India's first Multi-modal Logistics Park to be built in Assam,null,null,https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Other (www.logisticsinsider.in),Unverified
sKart Express Depot Noida,Depot,Noida,null,Central,0,0,0,0,0,Launched,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,sKart Express launches its first Depot in collaboration with SpiceJet in Noida,null,null,https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Other (www.logisticsinsider.in),Unverified
MMLP Salawas,MMLP,Salawas,Rajasthan,North,0,0,0,0,0,development,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,null,null,https://www.linkedin.com/posts/concorindia_the-concor-inland-container-depot-icd-activity-7419758614325735425-nyaH,Other (www.linkedin.com),Verified
MMLP Mandalgarh,MMLP,Mandalgarh,Rajasthan,North,0,0,0,0,0,upcoming,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,null,null,https://www.linkedin.com/posts/concorindia_the-concor-inland-container-depot-icd-activity-7419758614325735425-nyaH,Other (www.linkedin.com),Verified
Multimodal Logistics Park (MMLP) near Pithampur,MMLP,Pithampur,Madhya Pradesh,Central,250.0,0,0,0,1110.0,Phase-I expected by 2027,"Road, Rail",Road & Rail freight connectivity; Inland Container Depot (ICD) facilities; Warehousing & cargo aggregation zones; Commercial logistics infrastructure; aligns with PM Gati Shakti master plan,null,null,null,null,0,0,0,0,0,0,0,"Indore, Pithampur, Dewas, Dhar and surrounding clusters",0,Phase-I expected by 2027,null,null,https://www.linkedin.com/posts/concorindia_the-concor-inland-container-depot-icd-activity-7419758614325735425-nyaH,Other (www.linkedin.com),Verified
Patli Multi-Modal Logistics Park,Multi-Modal Logistics Park; Inland Container Depot,Patli,null,North,0,0,0,0,0,null,Rail; Road; Warehousing; Auto Logistics,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Bonded and Domestic; Rail Transportation: EXIM and Domestic; Road Transportation: EXIM and Domestic; Auto Logistics; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; Presence at major industrial centres such as NCR (Tauru and Patli)","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,Auto,0,null,Notified as Inland Container Depot (ICD) for handling and custom clearance of EXIM cargo; ICD services (custom clearance) available,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Tumb Multi-Modal Logistics Park,Multi-Modal Logistics Park; Inland Container Depot,Tumb,null,West,0,0,0,0,0,null,Rail; Road; Warehousing,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Bonded; Rail Transportation: EXIM and Domestic; Road Transportation: EXIM and Domestic; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; Presence at major industrial centres such as Dadra and Nagar Haveli (Tumb)","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,null,Notified as Inland Container Depot (ICD) for handling and custom clearance of EXIM cargo; ICD services (custom clearance) available,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Kilaraipur Multi-Modal Logistics Park,Multi-Modal Logistics Park; Inland Container Depot,Kilaraipur,null,North,0,0,0,0,0,null,Rail; Road; Warehousing; Auto Logistics,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Bonded; Rail Transportation: EXIM and Domestic; Road Transportation: EXIM and Domestic; Auto Logistics; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,Auto,0,null,Notified as Inland Container Depot (ICD) for handling and custom clearance of EXIM cargo; ICD services (custom clearance) available,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Kishangarh Multi-Modal Logistics Park,Multi-Modal Logistics Park,Kishangarh,null,North,0,0,0,0,0,null,Rail; Road; Warehousing,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Domestic; Rail Transportation: Domestic; Road Transportation: Domestic; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; ALL will also be starting EXIM operations at Kishangarh","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,ALL will also be starting EXIM operations at Kishangarh,null,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Malur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Malur,null,South,0,0,0,0,0,null,Rail; Road; Warehousing,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Domestic; Rail Transportation: Domestic; Road Transportation: Domestic; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; Presence at major industrial centres such as Bengaluru (Malur); ALL will also be starting EXIM operations at Malur","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,ALL will also be starting EXIM operations at Malur,null,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Taloja Multi-Modal Logistics Park,Multi-Modal Logistics Park,Taloja,null,West,0,0,0,0,0,null,Rail; Road; Warehousing,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Domestic; Rail Transportation: Domestic; Road Transportation: Domestic; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; Presence at major industrial centres such as Mumbai (Taloja and Kalyan)","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,null,null,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Kanech Multi-Modal Logistics Park,Multi-Modal Logistics Park; POL tank farm,Kanech,null,North,0,0,0,0,0,null,Rail; Road; Warehousing,"Multi-modal logistics park with rail connectivity; Kanech (POL tank farm); Terminal Service; Warehousing: Bonded; Rail Transportation: EXIM and Domestic; Road Transportation: EXIM and Domestic; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,null,null,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Loni Multi-Modal Logistics Park,Multi-Modal Logistics Park; Inland Container Depot,Loni,null,Central,0,0,0,0,0,null,Rail; Road; Warehousing; Auto Logistics,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Bonded and Domestic; Rail Transportation: EXIM and Domestic; Road Transportation: EXIM and Domestic; Auto Logistics; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,Auto,0,null,Notified as Inland Container Depot (ICD) for handling and custom clearance of EXIM cargo; ICD services (custom clearance) available; ALL is Strategic Alliance Management Operator appointed by CWC at ICD Loni,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Valvada Multi-Modal Logistics Park,Multi-Modal Logistics Park; Inland Container Depot,Valvada,null,West,0,0,0,0,0,null,null,"Multi-modal logistics park with rail connectivity; Terminal Service; Warehousing: Bonded; Rail Transportation: EXIM and Domestic; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,null,Notified as Inland Container Depot (ICD) for handling and custom clearance of EXIM cargo; ICD services (custom clearance) available; ALL is Strategic Alliance Management Operator appointed by CWC at ICD Valvada,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Virochannagar Multi-Modal Logistics Park,Multi-Modal Logistics Park,Virochannagar,null,West,0,0,0,0,0,Under development; expected to be operational in FY 2023-24,Rail,"Multi-modal logistics park with rail connectivity; Logistics parks under development at Virochannagar, expected to be operational in FY 2023-24; Transportation of container cargo from Gateway ports (Mundra, Pipapav, JNPT and Ennore) to logistics parks; ALL will also be starting EXIM operations at Virochannagar","Gateway ports Mundra, Pipapav, JNPT and Ennore",null,Mundra; Pipapav; JNPT; Ennore,null,0,0,0,0,0,0,0,null,0,"Logistics parks under development at Virochannagar, expected to be operational in FY 2023-24; ALL will also be starting EXIM operations at Virochannagar",null,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Bawal Logistics Park,Logistics Park,Bawal,null,North,0,0,0,0,0,null,Rail; Road; Warehousing; Auto Logistics,Terminal Service; Warehousing: Bonded and Domestic; Rail Transportation: EXIM and Domestic; Road Transportation: EXIM and Domestic; Auto Logistics,null,null,null,null,0,0,0,0,0,0,0,Auto,0,null,null,null,https://www.adaniports.com/logistics,Operator (www.adaniports.com),Verified
Parkibanda Multi-Modal Logistics Park,Multi-Modal Logistics Park (MMLP),Parkibanda,Telangana,South,0,0,0,0,0,planned,"road, rail","Direct access to NH-44 and major rail routes, with future connectivity to the Mumbai and JNPT freight corridors via the Regional Ring Road",major rail routes; future connectivity to Mumbai and JNPT freight corridors via Regional Ring Road,NH-44; Regional Ring Road,JNPT (future via Regional Ring Road); Mumbai freight corridor (future via Regional Ring Road),null,0,0,0,0,0,0,0,null,0,"Reviewed by Network Planning Group (NPG) at 98th meeting; planned to handle 1.47 million metric tonnes of cargo annually from 2028, with capacity rising to nearly 20 million metric tonnes by 2070",Aligned with PM GatiShakti framework; reviewed by Network Planning Group (NPG),null,https://ddindia.co.in/2025/08/npg-reviews-seven-infrastructure-projects-across-rail-roads-logistics-and-textiles/,Other (ddindia.co.in),Verified
PM MITRA Park Dhar,PM MITRA Park,Dhar,Madhya Pradesh,Central,2158.0,0,0,0,2063.0,proposed to be established,"road, air, rail, port",Site located about 100 km from Indore Airport; Delhi-Mumbai Expressway exit at around 65 km at Ratlam; two inland container Depots (ICDs) at Tihi and Dhannad at 90 km and 80 km respectively; upcoming MMLP in Indore at 85 km; nearest sea port around 450 km at Hazira,ICD Tihi (90 km); ICD Dhannad (80 km); upcoming MMLP Indore (85 km),Delhi-Mumbai Expressway exit at Ratlam (around 65 km),Hazira (around 450 km),Indore Airport (100 km),0,0,0,0,0,0,0,"Textile and garment value chain including fiber processing, spinning, knitting, weaving, non-woven fabrics, wet processing, printing, finishing, cutting/sewing, apparel, madeups, technical textiles and related activities",0,"Park to be developed with trunk infrastructure including secured boundary wall, road and storm water drainage, cross drainage, water supply system, effluent and sewage collection and recycling, power/electrical supply with 220 KVA substation, underground cable ducts, street lights, Integrated Control and Command Centre, CCTV surveillance, IoT, SCADA monitored utilities, CETP, Solar Plant, Plug and Play Units and Centralized Steam Boiler; support infrastructure including Common Testing Facilities, Skill Development Centre, Residential Towers, Workers accommodation, Hostel facilities for working women, Hospital, Day care centre, school/education centre","Ministry of Textiles, GoI approved setting up of seven PM MITRA Parks; MPIDC designated as agency for implementing PM MITRA Park in Dhar, Madhya Pradesh; land allotment governed by Madhya Pradesh State Industrial Land and Building Management Rules, 2019 (as amended 2025); Board of Directors, PM MITRA Park Ltd., Madhya Pradesh decision final where policy lacks specific provisions",null,https://invest.mp.gov.in/wp-content/uploads/2025/08/FINAL-PM-MITRA-LAND-POLICY-MP-AUGUST-22.pdf,Government (invest.mp.gov.in),Verified
Tihi ICD,ICD,Tihi,null,Central,0,0,0,0,0,null,rail,"Inland container Depot at Tihi, 90 km from PM MITRA Park Dhar",null,null,null,null,0,0,0,0,0,0,0,null,0,null,null,null,https://invest.mp.gov.in/wp-content/uploads/2025/08/FINAL-PM-MITRA-LAND-POLICY-MP-AUGUST-22.pdf,Government (invest.mp.gov.in),Verified
Dhannad ICD,ICD,Dhannad,null,Central,0,0,0,0,0,null,rail,"Inland container Depot at Dhannad, 80 km from PM MITRA Park Dhar",null,null,null,null,0,0,0,0,0,0,0,null,0,null,null,null,https://invest.mp.gov.in/wp-content/uploads/2025/08/FINAL-PM-MITRA-LAND-POLICY-MP-AUGUST-22.pdf,Government (invest.mp.gov.in),Verified
Logix Park,CFS,Between 2 and 8 kilometres from container berths at Port Pipavav,Gujarat,West,0,0,0,0,0,Operational,null,One of three fully functional Container Freight Stations located between 2 and 8 kilometres from the container berths at Port Pipavav; containers can typically be moved from the CFS to the vessel in the shortest transit time,null,"Saurashtra central, northern Gujarat, Rajasthan and other parts of northwest India",Port Pipavav container berths (2-8 km),null,0,0,0,0,0,0,0,Cotton; wood pulp; sesame seeds; cattle feeds; agricultural products; ceramic tiles; soda ash; auto parts; spices; capital goods; scrap; water paper; electronics,0,null,null,null,https://www.apmterminals.com/en/pipavav/about/our-terminal,Other (www.apmterminals.com),Verified
Contrans Logistics,CFS,Between 2 and 8 kilometres from container berths at Port Pipavav,Gujarat,West,0,0,0,0,0,Operational,null,One of three fully functional Container Freight Stations located between 2 and 8 kilometres from the container berths at Port Pipavav; containers can typically be moved from the CFS to the vessel in the shortest transit time,null,"Saurashtra central, northern Gujarat, Rajasthan and other parts of northwest India",Port Pipavav container berths (2-8 km),null,0,0,0,0,0,0,0,Cotton; wood pulp; sesame seeds; cattle feeds; agricultural products; ceramic tiles; soda ash; auto parts; spices; capital goods; scrap; water paper; electronics,0,null,null,null,https://www.apmterminals.com/en/pipavav/about/our-terminal,Other (www.apmterminals.com),Verified
CWC,CFS,Between 2 and 8 kilometres from container berths at Port Pipavav,Gujarat,West,0,0,0,0,0,Operational,null,One of three fully functional Container Freight Stations located between 2 and 8 kilometres from the container berths at Port Pipavav; containers can typically be moved from the CFS to the vessel in the shortest transit time,null,"Saurashtra central, northern Gujarat, Rajasthan and other parts of northwest India",Port Pipavav container berths (2-8 km),null,0,0,0,0,0,0,0,Cotton; wood pulp; sesame seeds; cattle feeds; agricultural products; ceramic tiles; soda ash; auto parts; spices; capital goods; scrap; water paper; electronics,0,null,null,null,https://www.apmterminals.com/en/pipavav/about/our-terminal,Other (www.apmterminals.com),Verified
